Feature,Importance
protective_behavior_nomask_scale,0.5912522075033524
week,0.07465362749254251
7days_rolling_cases,0.06389157725226963
Perceived Severity,0.054793766852907946
Non-household contacts,0.05363429513888272
7days_rolling_deaths,0.046460470161187956
Isolate if instructed_Very willing,0.023244255193852342
Perceived Susceptibility,0.010211331564428324
Isolate if unwell_Yes,0.010051074071593932
age,0.008608579176422333
Isolate if unwell_Not sure,0.00759304378446201
Wellbeing,0.005354550805275932
household_size,0.003741547516495333
Isolate if instructed_Very unwilling,0.0036424044926441374
Isolate if instructed_Somewhat willing,0.0031897575511281987
gender_Male,0.0019373971247345961
employment_status_Unemployed,0.0017825888321248008
Isolate if instructed_Somewhat unwilling,0.0015932940356971782
How Government handle situation_Very well,0.001461459698186713
Confidence in Goverment's response_A lot of confidence,0.001297847938483939
Can't control worrying_Not at all,0.0012571407609116513
employment_status_Part time employment,0.0012010818666320713
comorbidities_Yes,0.0011184085255925883
How Government handle situation_Very badly,0.0011012668507477694
Can't control worrying_Nearly every day,0.0010610721169263108
Confidence in Goverment's response_Don't know,0.0010588253710815477
employment_status_Retired,0.0010516558354475207
Pleasure in doing things_Not at all,0.001026633932299624
How Government handle situation_Somewhat well,0.0010188915020100265
Feeling down/depressed_Nearly every day,0.0010040869222318171
Feeling nervous/anxious_consent_removed,0.000980927615548109
Feeling down/depressed_Not at all,0.0009623451171934651
Isolate if instructed_Not sure,0.0009410310119082287
comorbidities_consent_removed,0.0009331657726357104
Confidence in Goverment's response_Not very much confidence,0.0009297778086959083
How Government handle situation_Somewhat badly,0.0009284975776725134
Feeling down/depressed_consent_removed,0.0009225914795925139
Pleasure in doing things_Nearly every day,0.0008810432558519845
Can't control worrying_consent_removed,0.0008581902211864033
Pleasure in doing things_consent_removed,0.0008470201786221167
Feeling nervous/anxious_Several days,0.0007811844231985528
Feeling nervous/anxious_Not at all,0.000770904763183106
Feeling nervous/anxious_Nearly every day,0.0007020242721446031
Pleasure in doing things_Several days,0.0007003318886046529
Can't control worrying_Several days,0.0006800375789524421
comorbidities_Prefer_not_to_say,0.0006797322942860447
Feeling down/depressed_Several days,0.0006719973682163124
Confidence in Goverment's response_No confidence at all,0.0006709724753293578
employment_status_Not working,0.0006658925740994969
Feeling nervous/anxious_Prefer not to say,0.0003898239641286428
Feeling down/depressed_Prefer not to say,0.00026118222490129636
Pleasure in doing things_Prefer not to say,0.0002414175649494942
Can't control worrying_Prefer not to say,0.00020637206429165758
