Feature,Importance
protective_behavior_nomask_scale,0.5130160445238996
Non-household contacts,0.10127166122191546
Perceived Severity,0.06412359664656592
week,0.03997046770364936
age,0.03418328335369801
7days_rolling_cases,0.02539048848437938
Perceived Susceptibility,0.024089570739069855
Wellbeing,0.021706708606856823
Isolate if instructed_Very willing,0.01904944483381883
Isolate if unwell_Yes,0.014424409885613228
household_size,0.014226040193376317
Isolate if unwell_Not sure,0.006360189640442934
gender_Male,0.005868944071320347
7days_rolling_deaths,0.005820291313740844
How Government handle situation_Somewhat well,0.005553704276328553
Can't control worrying_Several days,0.005224449914729088
Confidence in Goverment's response_A lot of confidence,0.005006986557791221
How Government handle situation_Very well,0.004932982975428013
employment_status_Retired,0.004828022514561755
Pleasure in doing things_Nearly every day,0.004694367741803578
comorbidities_Yes,0.004610858174154002
employment_status_Part time employment,0.004227526520714912
Confidence in Goverment's response_Not very much confidence,0.00405803301651024
Isolate if instructed_Somewhat willing,0.003989454634627345
Feeling nervous/anxious_Nearly every day,0.003930876467561904
Can't control worrying_Not at all,0.003550969872934886
Feeling down/depressed_Several days,0.003495948950508319
Pleasure in doing things_Several days,0.0034317176903942035
Pleasure in doing things_Not at all,0.003320243664856009
Feeling nervous/anxious_Several days,0.0031815622121309788
Feeling nervous/anxious_Not at all,0.002885086174722281
Feeling down/depressed_Not at all,0.002878077620737881
Feeling down/depressed_Nearly every day,0.002652481472292683
employment_status_Not working,0.002629041445361146
How Government handle situation_Very badly,0.0025043511571603344
How Government handle situation_Somewhat badly,0.0024405389608721456
employment_status_Unemployed,0.002307364912012955
Confidence in Goverment's response_No confidence at all,0.002227885941038842
comorbidities_consent_removed,0.001958414110401602
Can't control worrying_Nearly every day,0.0019377328202771042
Pleasure in doing things_consent_removed,0.0018631752369245567
Feeling down/depressed_consent_removed,0.0017310442806511004
Can't control worrying_consent_removed,0.0016505041757154545
Feeling nervous/anxious_consent_removed,0.001576608115680582
Isolate if instructed_Very unwilling,0.0011607458592484505
Feeling down/depressed_Prefer not to say,0.001106747559704046
Isolate if instructed_Somewhat unwilling,0.0004973251503951755
comorbidities_Prefer_not_to_say,0.0004472605249647801
Confidence in Goverment's response_Don't know,0.0002422818352632966
Isolate if instructed_Not sure,0.0
Pleasure in doing things_Prefer not to say,0.0
Can't control worrying_Prefer not to say,0.0
Feeling nervous/anxious_Prefer not to say,0.0
