Feature,Importance
protective_behavior_nomask_scale,0.5499219934736064
week,0.09127181038164356
Non-household contacts,0.06709006321042041
Perceived Severity,0.05067766593433384
7days_rolling_cases,0.031266797522790914
Perceived Susceptibility,0.024121609018325045
age,0.018139885568061218
Isolate if unwell_Not sure,0.017464837957562568
7days_rolling_deaths,0.015764794732099918
Isolate if unwell_Yes,0.01569821965148046
Wellbeing,0.013168382597465018
Isolate if instructed_Very willing,0.011652542549739579
household_size,0.008764908205850403
gender_Male,0.003524957275802003
Isolate if instructed_Very unwilling,0.0034354366280263072
employment_status_Part time employment,0.0032629404578442575
Confidence in Goverment's response_A lot of confidence,0.0032266641466891016
Pleasure in doing things_Nearly every day,0.0031811264871474346
Isolate if instructed_Somewhat willing,0.00312017692319762
Feeling down/depressed_Not at all,0.0030060219816698984
Confidence in Goverment's response_Not very much confidence,0.002796380430607171
Can't control worrying_Not at all,0.002787141555291427
How Government handle situation_Very well,0.002751201413166736
Can't control worrying_Nearly every day,0.0026963408430988618
How Government handle situation_Somewhat well,0.002680660354826509
Pleasure in doing things_Several days,0.0026246726264180058
Pleasure in doing things_Not at all,0.002621084281959533
How Government handle situation_Very badly,0.0025641020530429407
Feeling nervous/anxious_Nearly every day,0.0025457150789502778
How Government handle situation_Somewhat badly,0.0024403134322997285
Feeling down/depressed_Several days,0.0024376781619261613
comorbidities_Yes,0.0024223960853709337
Feeling nervous/anxious_Several days,0.0023417242549575415
comorbidities_Prefer_not_to_say,0.002324157787897371
employment_status_Retired,0.0022853067575476314
employment_status_Not working,0.00212281292024821
Feeling nervous/anxious_Not at all,0.0021101446870957523
Feeling down/depressed_Nearly every day,0.002054058479911575
employment_status_Unemployed,0.002019196926256148
Can't control worrying_Several days,0.0018454828738443012
Confidence in Goverment's response_No confidence at all,0.0018049057119267214
Isolate if instructed_Somewhat unwilling,0.0011475611075427408
Confidence in Goverment's response_Don't know,0.0011343269552292023
comorbidities_consent_removed,0.001133391993555667
Pleasure in doing things_consent_removed,0.00099048373658971
Feeling nervous/anxious_consent_removed,0.0009575297317071579
Feeling down/depressed_consent_removed,0.0009451442635597632
Can't control worrying_consent_removed,0.0009277638959388997
Isolate if instructed_Not sure,0.0007624345684739449
Can't control worrying_Prefer not to say,0.0006210510014427379
Feeling down/depressed_Prefer not to say,0.0004934901779848574
Pleasure in doing things_Prefer not to say,0.0004884544124634741
Feeling nervous/anxious_Prefer not to say,0.0004400613853509852
